#          x                 Ham                 Mom
   4.0394487   -9.2323114991e-01    7.6113396326e-08
   4.0570882   -9.2323411876e-01    5.7229240641e-08
   4.0747277   -9.2323846560e-01    4.4101242271e-08
   4.0923672   -9.2324578956e-01    4.3409386251e-08
   4.1100067   -9.2325311353e-01    4.2717530231e-08
   4.1276462   -9.2325958589e-01    4.1528247473e-08
   4.1452858   -9.2326440398e-01    3.9372698983e-08
   4.1629253   -9.2326922207e-01    3.7217150493e-08
   4.1805648   -9.2327240086e-01    3.8477193503e-08
   4.1982043   -9.2327270645e-01    4.5723703336e-08
   4.2158438   -9.2327301204e-01    5.2970213169e-08
   4.2334833   -9.2327222493e-01    5.9438757016e-08
   4.2511228   -9.2326970493e-01    6.4673556828e-08
   4.2687623   -9.2326718493e-01    6.9908356639e-08
   4.2864019   -9.2326350302e-01    7.5886440034e-08
   4.3040414   -9.2325815018e-01    8.2933436009e-08
   4.3216809   -9.2325279734e-01    8.9980431984e-08
   4.3393204   -9.2324569618e-01    8.8273762325e-08
   4.3569599   -9.2323631118e-01    7.5132124043e-08
   4.3745994   -9.2322692617e-01    6.1990485761e-08
   4.3922389   -9.2321734667e-01    5.2523135314e-08
   4.4098785   -9.2320753610e-01    4.7420964430e-08
   4.4275180   -9.2319772552e-01    4.2318793546e-08
   4.4451575   -9.2319206842e-01    4.7481088441e-08
   4.4627970   -9.2319090249e-01    6.3742358527e-08
   4.4804365   -9.2318973656e-01    8.0003628614e-08
   4.4980760   -9.2319525889e-01    8.9056899700e-08
   4.5157155   -9.2320736579e-01    9.1013923708e-08
   4.5333551   -9.2321947269e-01    9.2970947716e-08
   4.5509946   -9.2323346565e-01    9.3613256961e-08
   4.5686341   -9.2324914908e-01    9.3077192231e-08
   4.5862736   -9.2326483251e-01    9.2541127501e-08
   4.6039131   -9.2327225905e-01    8.9044140708e-08
   4.6215526   -9.2327295126e-01    8.3132217479e-08
   4.6391921   -9.2327364346e-01    7.7220294250e-08
   4.6568317   -9.2326120881e-01    7.3993647501e-08
   4.6744712   -9.2323904065e-01    7.2758124129e-08
   4.6921107   -9.2321687249e-01    7.1522600756e-08
   4.7097502   -9.2319036760e-01    9.0938086349e-08
   4.7273897   -9.2316094322e-01    1.2425588517e-07
   4.7450292   -9.2313151883e-01    1.5757368398e-07
   4.7626687   -9.2311459341e-01    1.7350852236e-07
   4.7803082   -9.2310529314e-01    1.7883866159e-07
   4.7979478   -9.2309599287e-01    1.8416880083e-07
   4.8155873   -9.2310718229e-01    1.8128433088e-07
   4.8332268   -9.2312967208e-01    1.7386937950e-07
   4.8508663   -9.2315216187e-01    1.6645442812e-07
   4.8685058   -9.2318411842e-01    1.5540913795e-07
   4.8861453   -9.2322078067e-01    1.4255929340e-07
   4.9037848   -9.2325744293e-01    1.2970944886e-07
   4.9214244   -9.2328384228e-01    1.1141788354e-07
